1,1021101,"ORG2010375","特力樂活有機黑豆","特力股份有限公司","臺北市內湖區新湖三路號","MOA","ND","特力屋股份有限公司臺北縣土城市青雲路號樓",
2,1021101,"ORG2010376","桃米泉頂級有機蔭油膏","甘寶生物科技有限公司","南投市東山里東山路號","COAA","ND","特力屋股份有限公司臺北縣土城市青雲路號樓",
3,1021101,"ORG2010377","有機糙米粉","源順食品有限公司","雲林縣虎尾鎮文科路號","采園生態驗證有限公司","ND","特力屋股份有限公司臺北縣土城市青雲路號樓",
4,1021105,"ORG2010378","有機不飽和葵花油","青荷國際有限公司","桃園市建國路號","Bio Inspecta","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
5,1021105,"ORG2010379","有機第一道冷壓橄欖油","青荷國際有限公司","桃園市建國路號","Bio Inspecta","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
6,1021105,"ORG2010380","有機初榨冷壓橄欖油","智慧有機體股份有限公司","臺北市南京東路段號","CAAE","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
7,1021105,"ORG2010381","德國有機腰果燕麥片","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
8,1021105,"ORG2010382","有機糙米粉","元豪食品有限公司","臺中市大仁街號","COAA","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
9,1021106,"ORG2010373","有機洋扁豆","擁潔股份有限公司","臺北市西園路段號","UCS","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
10,1021106,"ORG2010374","有機古早黑糖","擁潔股份有限公司","臺北市西園路段號","UCS","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
11,1021106,"ORG2010384","有機香菇素蠔油","喜樂愛之泉有限公司","臺中市北區文祥街號","TOC","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
12,1021106,"ORG2010385","有機亞麻仁子","擁潔股份有限公司","臺北市西園路段號","UCS","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
13,1021108,"ORG2010383","有機純黑櫻桃果汁","力象股份有限公司","臺北市南港區三重路號之","Quality Certification Services","ND","統健實業股份有限公司板橋國光門市新北市板橋區公館里國光路號樓",
14,1021108,"ORG2010386","統一有機胚芽麵粉","統一生機開發股份有限公司","桃園縣中壢市定寧路號樓","TOC","ND","統健實業股份有限公司板橋國光門市新北市板橋區公館里國光路號樓",
15,1021108,"ORG2010387","有機十穀奶","展康國際有機股份公司","臺中市豐原區西勢路號","UCS","ND","統健實業股份有限公司板橋國光門市新北市板橋區公館里國光路號樓",
16,1021112,"ORG2010388","義大利有機新鮮原味番茄","智慧有機體股份有限公司","臺北市南京東路段號","CCPB srl","ND","統健實業股份有限公司新北市汐止區仁愛路巷號",
17,1021112,"ORG2010389","有機草莓果醬","統一生機開發股份有限公司","桃園縣中壢市定寧路號樓","QAI","ND","統健實業股份有限公司新北市汐止區仁愛路巷號",
18,1021113,"ORG2010390","樂爸有機甜椒麵醬","駿伸企業有限公司","臺北市成功路段號","BioAgriCert","ND","柑仔店板新課",
19,1021113,"ORG2010391","史密斯有機椰子油","苗林食品有限公司","臺北市松江路巷號","CONTROL UNION CERTIFICATIONS B.V.","ND","柑仔店板新課",
20,1021113,"ORG2010392","有機冷壓葵花籽油","有幾園生物科技（股）公司","臺中市梧棲區港埠路段號","BioAgriCert S.r.l.","ND","柑仔店板新課",
21,1021113,"ORG2010393","好鮮有機黑醋栗汁","活力陽光企業有限公司","屏東縣潮州鎮榮吉街號","LACON GmbH","ND","柑仔店板新課",
22,1021113,"ORG2010394","好鮮有機紅蘿蔔汁","活力陽光企業有限公司","屏東縣潮州鎮榮吉街號","LACON GmbH","ND","柑仔店板新課",
23,1021113,"ORG2010395","好鮮有機蘋果汁","清淨生活有限公司","屏東縣潮州鎮新生路號","LACON GmbH","ND","柑仔店板新課",
24,1021122,"ORG2010408","有機黑苺紅石榴果醬","統一生機開發股份有限公司","桃園縣中壢市定寧路號樓","QAI","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
25,1021122,"ORG2010409","德國有機甜菜根糖蜜","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
26,1021122,"ORG2010410","德國有機顆粒花生醬","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
27,1021122,"ORG2010411","頂客坊有機藍莓水果抹醬","保灃國際股份有限公司","臺北市中山區中山北路段巷號樓","QAI","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
28,1021122,"ORG2010412","頂客坊有機覆盆子水果抹醬","保灃國際股份有限公司","臺北市中山區中山北路段巷號樓","QAI","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
29,1021122,"ORG2010413","歐芙有機檸檬汁","有幾園生物科技（股）公司","臺中市梧棲區港埠路段號","BioAgriCert S.r.l.","ND","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
30,1021125,"ORG2010414","有機紅巴薩米克醋","智慧有機體股份有限公司","臺北市南京東路段號","CAAE","ND","柑仔店板新課",
31,1021125,"ORG2010415","有機小麥","擁潔股份有限公司","臺北市西園路段號","UCS","ND","柑仔店板新課",
32,1021125,"ORG2010416","有機黑麥","擁潔股份有限公司","臺北市西園路段號","UCS","ND","柑仔店板新課",
33,1021125,"ORG2010417","有機黃豆粉","元豪食品有限公司","臺中市大仁街號","COAA","ND","柑仔店板新課",
34,1021125,"ORG2010418","有機黑豆粉","元豪食品有限公司","臺中市大仁街號","COAA","ND","柑仔店板新課",
35,1021125,"ORG2010419","有機豆漿（無糖）","萬里香食品廠","桃園縣大溪鎮中央路號","UCS","ND","柑仔店板新課",
36,1021125,"ORG2010420","有機豆漿（微甜）","萬里香食品廠","桃園縣大溪鎮中央路號","UCS","ND","柑仔店板新課",
37,1021125,"ORG2010421","有機黑豆漿","萬里香食品廠","桃園縣大溪鎮中央路號","UCS","ND","柑仔店板新課",
38,1021125,"ORG2010422","有機什錦珍果麥片","簡單生活開發有限公司","新竹縣竹北市成功六街號","TOC","ND","柑仔店板新課",
39,1021126,"ORG2010423","脆食代有機燕麥片（水果口味）","廣博實業股份有限公司","臺北市南港區園區街號樓之","F厤evareregion 喒t","ND","棉花田生機園地股份有限公司新北市板橋區文化路一段號樓",
40,1021126,"ORG2010424","有機楓糖漿","廣博實業股份有限公司","臺北市南港區園區街號樓之","ECOCERT CANADA","ND","棉花田生機園地股份有限公司新北市板橋區文化路一段號樓",
41,1021126,"ORG2010425","那司克有機黑巧克力醬","廣博實業股份有限公司","臺北市南港區園區街號樓之","Skal","ND","棉花田生機園地股份有限公司新北市板橋區文化路一段號樓",
42,1021126,"ORG2010426","佳瓦那有機檸檬碳酸果汁","廣博實業股份有限公司","臺北市南港區園區街號樓之","ECOCERT ITALIA S.r.l.","ND","棉花田生機園地股份有限公司新北市板橋區文化路一段號樓",
43,1021126,"ORG2010427","有機初榨冷壓亞麻仁油","廣博實業股份有限公司","臺北市南港區園區街號之","ABCERT AG","ND","棉花田生機園地股份有限公司新北市板橋區文化路一段號樓",
44,1021128,"ORG2010434","有機紅薏仁","柑仔店股份有限公司","新竹市光復路段號","TOC","ND","柑仔店板新課",
45,1021128,"ORG2010435","有機黑豆","柑仔店股份有限公司","新竹市光復路段號","TOC","ND","柑仔店板新課",
46,1021128,"ORG2010436","有機綠豆","柑仔店股份有限公司","新竹市光復路段號","TOC","ND","柑仔店板新課",
47,1021128,"ORG2010437","有機亞麻仁籽","正原有機國際有限公司","新北市板橋區信義路巷號","FSII","ND","柑仔店板新課",
48,1021128,"ORG2010438","義大利有機新鮮番茄濃汁","智慧有機體股份有限公司","臺北市南京東路段號","CCPB srl","ND","柑仔店板新課",
49,1021128,"ORG2010439","德國有機冷壓初榨亞麻仁油","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","ND","柑仔店板新課",
50,1021128,"ORG2010440","有機德國蘋果醋","擁潔股份有限公司","臺北市西園路段號","BCS Oko-Garantie GmbH","ND","柑仔店板新課",
51,1021128,"ORG2010441","有機胡蘿蔔汁","擁潔股份有限公司","臺北市西園路段號","Ecocert Deutschland GmbH","ND","柑仔店板新課",
52,1021128,"ORG2010442","有機砂糖","擁潔股份有限公司","臺北市西園路段號","UCS","ND","柑仔店板新課",
53,1021128,"ORG2010443","有機砂糖","萬里香食品廠","桃園縣大溪鎮中央路號","UCS","ND","柑仔店板新課",
54,1021128,"ORG2010444","有機綜合穀片","雅辰貿易有限公司","新北市汐止區南陽街號","Prufverein Verarbeitung okologische Landbauprodukte e.V.","ND","柑仔店板新課",
55,1021128,"ORG2010445","拉里歐有機頂級初榨橄欖油","德香寧貿易有限公司","新竹縣寶山鄉雙溪村湳坑路段巷弄號","ICEA","ND","柑仔店板新課",
56,1021129,"ORG2010449","有機清新檸檬大麥芽汁","擁潔股份有限公司","臺北市西園路段號","BCS Oko-Garantie GmbH","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
57,1021129,"ORG2010450","有機鮮橙汽泡礦泉水","擁潔股份有限公司","臺北市西園路段號","BCS Oko-Garantie GmbH","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
58,1021129,"ORG2010451","有機檸檬汽泡礦泉飲","擁潔股份有限公司","臺北市西園路段號","BCS Oko-Garantie GmbH","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
59,1021129,"ORG2010452","有機可樂汽泡礦泉飲","擁潔股份有限公司","臺北市西園路段號","BCS Oko-Garantie GmbH","ND","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
60,1021129,"ORG2010453","有機烤大蒜蕃茄義大利麵醬","一語堂國際貿易有限公司","新北市林口區工九路號","QAI","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
61,1021129,"ORG2010454","有機羅勒蕃茄義大利麵醬","一語堂國際貿易有限公司","新北市林口區工九路號","QAI","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
62,1021129,"ORG2010455","有機磨菇蕃茄義大利麵醬","一語堂國際貿易有限公司","新北市林口區工九路號","QAI","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
63,1021129,"ORG2010456","有機純黑櫻桃果汁","力象股份有限公司","臺北市南港區三重路號之","QCS","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
64,1021129,"ORG2010457","早晨榮耀有機黑棗黑梅汁","力象股份有限公司","臺北市南港區三重路號之","QAI","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
65,1021129,"ORG2010458","有機蘋果汁","味榮食品工業股份有限公司","臺中市豐原區西勢路號","UCS","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
66,1021129,"ORG2010459","德國有機莓果燕麥片","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","ND","聖德科斯板橋中山門市新北市板橋區中山路段之號",
67,1021106,"ORG2030283","有機綠豆芽","陳佑源（自然世淨）","臺中市后里區后里里三豐路巷號樓","UCS","ND","全聯實業股份有限公司臺中復興分公司臺中市南區復興路段號",
68,1021106,"ORG2030284","有機葵瓜子","綠指南貿易有限公司","新北市板橋區信義路巷號樓","FSII","ND","全聯實業股份有限公司臺中復興分公司臺中市南區復興路段號",
69,1021106,"ORG2030285","有機紅豆","日正食品工業股份有限公司","臺北市文山區萬芳路號南投市自強三路號","MOA","ND","全聯實業股份有限公司臺中復興分公司臺中市南區復興路段號",
70,1021106,"ORG2030302","有機櫻桃原汁","擁潔股份有限公司","臺北市西園路段號","Ecocert Deutschland GmbH","ND","吉笙健康科技股份有限公司昌平分公司臺中市北屯區昌平路段號樓",
